evalFun,map,algorithm,depth,isWin,score
0,contestClassic,Minimax,3,0,30
0,mediumClassic,Minimax,3,1,1118
0,minimaxClassic,Minimax,3,0,-494
0,originalClassic,Minimax,3,0,320
0,powerClassic,Minimax,3,1,2342
0,smallClassic,Minimax,3,1,972
0,testClassic,Minimax,3,1,561
0,trappedClassic,Minimax,3,1,532
0,contestClassic,AlphaBeta,3,0,30
0,mediumClassic,AlphaBeta,3,1,1118
0,minimaxClassic,AlphaBeta,3,0,-494
0,originalClassic,AlphaBeta,3,0,320
0,powerClassic,AlphaBeta,3,1,2342
0,smallClassic,AlphaBeta,3,1,972
0,testClassic,AlphaBeta,3,1,561
0,trappedClassic,AlphaBeta,3,1,532
0,contestClassic,Expectimax,3,0,103
0,mediumClassic,Expectimax,3,1,1107
0,minimaxClassic,Expectimax,3,1,508
0,originalClassic,Expectimax,3,1,2098
0,powerClassic,Expectimax,3,1,942
0,smallClassic,Expectimax,3,1,985
0,testClassic,Expectimax,3,1,561
0,trappedClassic,Expectimax,3,1,532
1,contestClassic,Minimax,3,0,-119
1,mediumClassic,Minimax,3,0,-302
1,minimaxClassic,Minimax,3,0,-492
1,originalClassic,Minimax,3,0,2089
1,powerClassic,Minimax,3,0,1005
1,smallClassic,Minimax,3,1,1747
1,testClassic,Minimax,3,1,563
1,trappedClassic,Minimax,3,1,531
1,contestClassic,AlphaBeta,3,0,-119
1,mediumClassic,AlphaBeta,3,0,-302
1,minimaxClassic,AlphaBeta,3,0,-492
1,originalClassic,AlphaBeta,3,0,2089
1,powerClassic,AlphaBeta,3,0,1005
1,smallClassic,AlphaBeta,3,1,1747
1,testClassic,AlphaBeta,3,1,563
1,trappedClassic,AlphaBeta,3,1,531
1,contestClassic,Expectimax,3,1,2202
1,mediumClassic,Expectimax,3,1,1925
1,minimaxClassic,Expectimax,3,1,511
1,originalClassic,Expectimax,3,0,1829
1,smallClassic,Expectimax,3,0,-420
1,testClassic,Expectimax,3,1,562
1,trappedClassic,Expectimax,3,1,531
1,openClassic,Expectimax,3,1,1375
